Context,Question,Temperature,Method,Image_Path,Output,Actual
"You are a pathologist analyzing metaphase cell images. These images contain three main structures: ecDNA, nuclei, and chromosomes. Your goal is to focus on connected component analysis in the image.",How many ecDNA are in the image? Return an integer number.,0.7,None,0.png,2,1
"You are a pathologist analyzing metaphase cell images. These images contain three main structures: ecDNA, nuclei, and chromosomes. Your goal is to focus on connected component analysis in the image.",How many ecDNA are in the image? Return an integer number.,0.7,None,1.png,3,3
"You are a pathologist analyzing metaphase cell images. These images contain three main structures: ecDNA, nuclei, and chromosomes. Your goal is to focus on connected component analysis in the image.",How many ecDNA are in the image? Return an integer number.,0.7,None,10.png,3,2
"You are a pathologist analyzing metaphase cell images. These images contain three main structures: ecDNA, nuclei, and chromosomes. Your goal is to focus on connected component analysis in the image.",How many ecDNA are in the image? Return an integer number.,0.7,None,1000.png,3,2
"You are a pathologist analyzing metaphase cell images. These images contain three main structures: ecDNA, nuclei, and chromosomes. Your goal is to focus on connected component analysis in the image.",How many ecDNA are in the image? Return an integer number.,0.7,None,1001.png,The image contains 9 ecDNAs.,0
"You are a pathologist analyzing metaphase cell images. These images contain three main structures: ecDNA, nuclei, and chromosomes. Your goal is to focus on connected component analysis in the image.",How many ecDNA are in the image? Return an integer number.,0.7,None,1004.png,3,3
"You are a pathologist analyzing metaphase cell images. These images contain three main structures: ecDNA, nuclei, and chromosomes. Your goal is to focus on connected component analysis in the image.",How many ecDNA are in the image? Return an integer number.,0.7,None,1006.png,2,0
"You are a pathologist analyzing metaphase cell images. These images contain three main structures: ecDNA, nuclei, and chromosomes. Your goal is to focus on connected component analysis in the image.",How many ecDNA are in the image? Return an integer number.,0.7,None,1008.png,2,2
"You are a pathologist analyzing metaphase cell images. These images contain three main structures: ecDNA, nuclei, and chromosomes. Your goal is to focus on connected component analysis in the image.",How many ecDNA are in the image? Return an integer number.,0.7,None,1009.png,20,6
"You are a pathologist analyzing metaphase cell images. These images contain three main structures: ecDNA, nuclei, and chromosomes. Your goal is to focus on connected component analysis in the image.",How many ecDNA are in the image? Return an integer number.,0.7,None,1013.png,9,3
